model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,47,2.90625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,48,2.90625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,49,2.484375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,50,2.71875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,51,2.40625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,52,2.359375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,53,2.328125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,54,2.140625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,55,2.359375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,56,2.140625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,57,1.9296875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,58,2.40625,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,59,2.28125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,60,2.59375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,61,2.796875,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,62,2.859375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,63,3.078125,2047,0.003942152950912714
