model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,138,1.7636594772338867,2047,1.7636594772338867,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,139,2.381622552871704,2047,2.381622552871704,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,140,2.6141152381896973,2047,2.6141152381896973,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,141,2.287601947784424,2047,2.287601947784424,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,142,2.264681339263916,2047,2.264681339263916,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,143,2.3726329803466797,2047,2.3726329803466797,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,144,2.3436450958251953,2047,2.3436450958251953,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,145,2.32551908493042,2047,2.32551908493042,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,0,2.0008022785186768,2047,1.9316251277923584,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,1,2.4158942699432373,2047,2.3518285751342773,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,2,2.6059157848358154,2047,2.548618793487549,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,3,2.3505914211273193,2047,2.275383234024048,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,4,2.113577127456665,2047,2.061544895172119,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,5,1.6976726055145264,2047,1.6449625492095947,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,6,1.4945622682571411,2047,1.4681226015090942,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,7,2.048908233642578,2047,2.008359909057617,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,8,2.2383623123168945,2047,2.178054094314575,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,9,2.4053189754486084,2047,2.365758180618286,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,10,2.2001233100891113,2047,2.198869466781616,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,11,2.2946994304656982,2047,2.2343010902404785,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,12,2.1890454292297363,2047,2.1460916996002197,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,13,2.4039628505706787,2047,2.339164972305298,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,14,2.3980510234832764,2047,2.322035074234009,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,15,2.2753782272338867,2047,2.2203288078308105,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,16,2.5700905323028564,2047,2.5162808895111084,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,17,2.3914570808410645,2047,2.350363254547119,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,18,2.1219329833984375,2047,2.092217206954956,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,19,2.0000617504119873,2047,1.964194416999817,0.0
