model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,1,qkv,27,20,0.6286154352646292,0.6375122646102839,0.008896829345654722,0.006289308176100629,0.9875,2560,1.0,0.0,20,,,0,0.0023677979479084454,0.9952755905511811,2540
qwen3_4b_base,1,qkv,28,20,0.6584810508160879,0.6652761326342247,0.006795081818136817,0.00688298918387414,0.986328125,2560,1.0,0.0,20,,,0,0.0029615004935834156,0.9940944881889764,2540
qwen3_4b_base,1,qkv,29,20,0.544651001813541,0.5525799989483651,0.00792899713482409,0.009662788404653915,0.980859375,2560,1.0,0.0,20,,,0,0.005741437339140764,0.9885826771653543,2540
qwen3_4b_base,1,qkv,30,20,0.5995029152094018,0.6129256066175763,0.013422691408174536,0.007081038552321007,0.9859375,2560,1.0,0.0,20,,,0,0.00315955766192733,0.9937007874015749,2540
qwen3_4b_base,1,qkv,31,20,0.57069860185854,0.588328104669191,0.01762950281065101,0.007874015748031496,0.984375,2560,1.0,0.0,20,,,0,0.003952569169960474,0.9921259842519685,2540
qwen3_4b_base,1,qkv,32,20,0.5856536373963532,0.6025194090718546,0.016865771675501406,0.008072455207718056,0.983984375,2560,1.0,0.0,20,,,0,0.004151017987744613,0.9917322834645669,2540
qwen3_4b_base,1,qkv,33,20,0.513549924819083,0.52504305953215,0.01149313471306701,0.008866995073891626,0.982421875,2560,1.0,0.0,20,,,0,0.004945598417408506,0.9901574803149606,2540
qwen3_4b_base,1,qkv,34,20,0.6073602689548535,0.6275663411552235,0.020206072200369962,0.007675654398740406,0.984765625,2560,1.0,0.0,20,,,0,0.003754198774945663,0.99251968503937,2540
qwen3_4b_base,1,qkv,35,20,0.6375343957419651,0.6573536129523545,0.019819217210389373,0.00609157005305561,0.987890625,2560,1.0,0.0,20,,,0,0.002170053264943776,0.9956692913385827,2540
qwen3_4b_base,1,down,0,76,0.23879592369616331,0.1996712785781022,-0.0391246451180611,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,1,down,1,76,0.4901576728159197,0.4459174904503893,-0.0442401823655304,0.004128819157720892,0.9917763157894737,9728,1.0,0.0,76,,,0,0.0002072538860103627,0.9995855781185247,9652
qwen3_4b_base,1,down,2,76,0.25778186622554494,0.2145427358506804,-0.04323913037486454,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,1,down,3,76,0.22467227832860082,0.16966833935792988,-0.055003938970670935,0.0043361552756555856,0.9913651315789473,9728,1.0,0.0,76,,,0,0.00041459369817578774,0.9991711562370493,9652
qwen3_4b_base,1,down,4,76,0.2415929473894077,0.18148849229716352,-0.060104455092244186,0.004025183197440396,0.9919819078947368,9728,1.0,0.0,76,,,0,0.00010361620557455187,0.9997927890592623,9652
qwen3_4b_base,1,down,5,76,0.19031937066322596,0.13870442108425882,-0.051614949578967145,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,1,down,6,76,0.974842380108968,0.976476070403477,0.0016336902945089937,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,1,down,7,76,0.12808947744775748,0.09319442221335582,-0.03489505523440166,0.0041806451612903224,0.9916735197368421,9728,1.0,0.0,76,,,0,0.0002590807813876367,0.9994819726481559,9652
qwen3_4b_base,1,down,8,76,0.12803914727185386,0.08541794735319262,-0.04262119991866124,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,1,down,9,76,0.1767802137488859,0.10998012647409967,-0.06680008727478622,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,1,down,10,76,0.20014854334563587,0.1330040953869709,-0.06714444795866498,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,1,down,11,76,0.1977430757270426,0.13297484510292343,-0.06476823062411918,0.0043361552756555856,0.9913651315789473,9728,1.0,0.0,76,,,0,0.00041459369817578774,0.9991711562370493,9652
