model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,46,2.4002461433410645,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,47,2.1782848834991455,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,48,2.070402145385742,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,49,2.060713529586792,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,50,1.7900604009628296,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,51,1.8686649799346924,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,52,1.719264030456543,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,53,1.915850281715393,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,54,1.6636340618133545,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,55,1.628230094909668,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,56,1.8860559463500977,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,57,1.8302116394042969,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,58,2.1984376907348633,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,59,2.3881032466888428,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,60,2.3889658451080322,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,61,2.5053632259368896,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,62,1.54433012008667,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,down_only,identity,20260902,63,1.934669017791748,2047,False,0.0
