model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,18,128,bf16,14.751607894897461,0.0,0.0,65536,True,
llama32_3b,18,128,identity,14.751607894897461,0.02238996654131721,0.08188515901565552,65536,True,
llama32_3b,18,128,hadamard,9.72976016998291,0.009707530048536082,0.03550262749195099,65536,True,
llama32_3b,18,128,nar,8.928634643554688,0.008233702304147165,0.030112504959106445,65536,True,
llama32_3b,18,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,19,32,bf16,9.314783096313477,0.0,0.0,65536,True,
llama32_3b,19,32,identity,9.314783096313477,0.009639375352061443,0.038192033767700195,65536,True,
llama32_3b,19,32,hadamard,7.962360382080078,0.00585717649658561,0.023206638172268867,65536,True,
llama32_3b,19,32,nar,6.2870049476623535,0.0037045034045215743,0.014677561819553375,65536,True,
llama32_3b,19,32,nar_rope,7.286159992218018,0.005005087533880036,0.01983058825135231,65536,True,
llama32_3b,19,64,bf16,12.590895652770996,0.0,0.0,65536,True,
llama32_3b,19,64,identity,12.590895652770996,0.016352347619864566,0.06478940695524216,65536,True,
llama32_3b,19,64,hadamard,8.959458351135254,0.0076118365547122625,0.0301587525755167,65536,True,
llama32_3b,19,64,nar,7.891330718994141,0.005897040560634928,0.023364583030343056,65536,True,
llama32_3b,19,64,nar_rope,8.550934791564941,0.007053239453246243,0.027945542708039284,65536,True,
llama32_3b,19,128,bf16,16.21038818359375,0.0,0.0,65536,True,
llama32_3b,19,128,identity,16.21038818359375,0.02554581107284047,0.101214699447155,65536,True,
llama32_3b,19,128,hadamard,9.905052185058594,0.009392894732899058,0.037215456366539,65536,True,
llama32_3b,19,128,nar,9.241576194763184,0.008196766334837588,0.03247629478573799,65536,True,
llama32_3b,19,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,20,32,bf16,8.937447547912598,0.0,0.0,65536,True,
