model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,q_input,6,identity,0.008338438869929958,17.84536361694336,0.026128297671675682,7010.091047678225,840695.8613030054,2048
llama32_3b,q_input,6,hadamard,0.00942856574848903,4.0160040855407715,0.027129262685775757,7926.556202778,840695.8613030054,2048
llama32_3b,q_input,6,nar,0.009448093259321675,3.7198333740234375,0.02494874596595764,7942.972900316555,840695.8613030054,2048
llama32_3b,q_input,6,logdiag,0.0380130724575181,69.6478042602539,0.024729406461119652,31957.43269044673,840695.8613030054,2048
llama32_3b,q_input,7,bf16,0.0,17.294864654541016,0.0,0.0,784862.694014094,2048
llama32_3b,q_input,7,identity,0.008418593765560114,17.294864654541016,0.025921504944562912,6607.440182647766,784862.694014094,2048
llama32_3b,q_input,7,hadamard,0.00932523951085248,3.9649388790130615,0.027280500158667564,7319.032604814349,784862.694014094,2048
llama32_3b,q_input,7,nar,0.009418128048533389,3.6844303607940674,0.02462238445878029,7391.937352741616,784862.694014094,2048
llama32_3b,q_input,7,logdiag,0.041543970096597084,46.87986755371094,0.024504467844963074,32606.312290056143,784862.694014094,2048
llama32_3b,q_input,8,bf16,0.0,25.2867374420166,0.0,0.0,984867.1348446473,2048
llama32_3b,q_input,8,identity,0.008390794499632688,25.2867374420166,0.025473034009337425,8263.81773792347,984867.1348446473,2048
llama32_3b,q_input,8,hadamard,0.00948479898032304,4.389559268951416,0.026401769369840622,9341.266796328184,984867.1348446473,2048
llama32_3b,q_input,8,nar,0.009457444715108206,3.6688084602355957,0.02420864813029766,9314.326479520269,984867.1348446473,2048
llama32_3b,q_input,8,logdiag,0.03556652793468999,55.993003845214844,0.02441338263452053,35028.30446341024,984867.1348446473,2048
llama32_3b,q_input,9,bf16,0.0,27.808300018310547,0.0,0.0,984413.4554865472,2048
llama32_3b,q_input,9,identity,0.008463971611192741,27.808300018310547,0.02535051479935646,8332.047540914285,984413.4554865472,2048
llama32_3b,q_input,9,hadamard,0.009457557695283598,4.544521331787109,0.026361390948295593,9310.147051277512,984413.4554865472,2048
llama32_3b,q_input,9,nar,0.009427893539534857,3.681544542312622,0.0244426429271698,9280.945257212805,984413.4554865472,2048
llama32_3b,q_input,9,logdiag,0.04055774052644101,68.44921112060547,0.02404363825917244,39925.585498360575,984413.4554865472,2048
llama32_3b,q_input,10,bf16,0.0,30.283613204956055,0.0,0.0,1054442.5101798805,2048
llama32_3b,q_input,10,identity,0.008449268929569115,30.283613204956055,0.025133714079856873,8909.26833927973,1054442.5101798805,2048
llama32_3b,q_input,10,hadamard,0.009510498512267391,4.701972961425781,0.025968488305807114,10028.273924337247,1054442.5101798805,2048
llama32_3b,q_input,10,nar,0.009449513461884716,3.613408327102661,0.02402467653155327,9963.968694728293,1054442.5101798805,2048
llama32_3b,q_input,10,logdiag,0.03575360732945851,90.31853485107422,0.023647867143154144,37700.12346046,1054442.5101798805,2048
llama32_3b,q_input,11,bf16,0.0,21.409198760986328,0.0,0.0,863689.7592494847,2048
llama32_3b,q_input,11,identity,0.008465579344623667,21.409198760986328,0.02609541267156601,7311.634186065427,863689.7592494847,2048
llama32_3b,q_input,11,hadamard,0.009370628655213977,4.240840435028076,0.026524212211370468,8093.316007238083,863689.7592494847,2048
llama32_3b,q_input,11,nar,0.00942970087985163,3.6707475185394287,0.02427639625966549,8144.3360827137085,863689.7592494847,2048
llama32_3b,q_input,11,logdiag,0.03920694229241817,65.6676254272461,0.024351701140403748,33862.63454944709,863689.7592494847,2048
llama32_3b,q_input,12,bf16,0.0,42.35133361816406,0.0,0.0,1238613.2444523354,2048
llama32_3b,q_input,12,identity,0.008492387980258375,42.35133361816406,0.025254368782043457,10518.784229375842,1238613.2444523354,2048
